ref,写法,读音,中文释义,原英文释义
lesson_n5:w446,---,ナイフ,knife，小刀，餐刀,knife
lesson_n5:w447,中,なか,里面，中间,"inside, middle, among"
lesson_n5:w448,長い,ながい,长,"long, lengthy"
lesson_n5:w449,鳴く,なく,叫，鸣（动物）,to make sound (animal)
lesson_n5:w450,無くす,なくす,弄丢，丢失,to lose something
lesson_n5:w451,---,なぜ,为什么（略书面）,why (same as どうして)
lesson_n5:w452,夏,なつ,夏天,summer
lesson_n5:w453,夏休み,なつやすみ,暑假,summer vacation
lesson_n5:w454,七つ,ななつ,七个，七岁,seven things
lesson_n5:w455,何,なん,什么,what
lesson_n5:w456,七日,なのか,七天，七号,seven days; seventh day (of the month)
lesson_n5:w457,名前,なまえ,名字,name
lesson_n5:w458,習う,ならう,学习（跟人学）,to learn
lesson_n5:w459,並ぶ,ならぶ,排队，排列（自动词）,"to line up, to stand in a line (v.i.)"
lesson_n5:w460,並べる,ならべる,排列，摆放（他动词）,to put (things) side by side; to line up
lesson_n5:w461,---,なる,成为，变成,to become
lesson_n5:w462,二,に,二,two
lesson_n5:w463,---,にぎやか,热闹,"bustling, busy"
lesson_n5:w464,肉,にく,肉,meat
lesson_n5:w465,西,にし,西，西边,west
lesson_n5:w466,日曜日,にちようび,星期日,Sunday
lesson_n5:w467,荷物,にもつ,行李,luggage; baggage
lesson_n5:w468,---,ニュース,news，新闻,news
lesson_n5:w469,庭,にわ,院子,garden
lesson_n5:w470,脱ぐ,ぬぐ,脱（衣服）,to take off (clothes)
lesson_n5:w471,温い,ぬるい,温，微温,lukewarm
lesson_n5:w472,---,ネクタイ,necktie，领带,"tie, necktie"
lesson_n5:w473,猫,ねこ,猫,cat
lesson_n5:w474,寝る,ねる,睡觉，就寝,to sleep; to go to sleep; to go to bed
lesson_n5:w475,---,ノート,notebook，笔记本,notebook
lesson_n5:w476,登る,のぼる,爬，登,to climb
lesson_n5:w477,飲み物,のみもの,饮料,"drink, beverage"
lesson_n5:w478,飲む,のむ,喝,to drink
lesson_n5:w479,乗る,のる,乘，坐（车）,"to get on, to ride in, to board"
lesson_n5:w480,歯,は,牙，牙齿,tooth
lesson_n5:w481,---,パーティー,party，聚会,a party
lesson_n5:w482,---,はい,是，在（应答）,yes
lesson_n5:w483,灰皿,はいざら,烟灰缸,ashtray
lesson_n5:w484,入る,はいる,进入，进（自动词）,"to enter, to contain, to hold"
lesson_n5:w485,葉書,はがき,明信片,postcard
lesson_n5:w486,---,はく,穿（下半身、鞋袜）,to put on (items below your waist)
lesson_n5:w487,箱,はこ,盒子,box
lesson_n5:w488,橋,はし,桥,bridge
lesson_n5:w489,箸,はし,筷子,chopsticks
lesson_n5:w490,始まる,はじまる,开始（自动词）,(something) begins
lesson_n5:w491,初め,はじめ,开始，起初,"beginning, start"
lesson_n5:w492,初めて,はじめて,第一次,for the first time
lesson_n5:w493,走る,はしる,跑,to run
lesson_n5:w494,---,バス,bus，公共汽车；bath，浴缸；bass，贝斯,bus; bath; bass
lesson_n5:w495,---,バター,butter，黄油,butter
lesson_n5:w496,二十歳,はたち,二十岁,20 years old
lesson_n5:w497,働く,はたらく,工作，劳动,to work
lesson_n5:w498,八,はち,八,eight
lesson_n5:w499,二十日,はつか,二十天，二十号,"twenty days, twentieth (day of the month)"
lesson_n5:w500,花,はな,花,flower
lesson_n5:w501,鼻,はな,鼻子,nose
lesson_n5:w502,話,はなし,话，故事,"talk (chat), story"
lesson_n5:w503,話す,はなす,说，讲,to speak
lesson_n5:w504,母,はは,母亲（指自己的）,(my) mother
lesson_n5:w505,早い,はやい,早（时间早）,early
lesson_n5:w506,速い,はやい,快（速度快）,"fast, quick"
lesson_n5:w507,春,はる,春天,spring
lesson_n5:w508,貼る,はる,贴，粘贴,to post; to paste; to attach
lesson_n5:w509,晴れ,はれ,晴，晴天,clear (sunny) weather
lesson_n5:w510,晴れる,はれる,放晴，天晴,to be sunny
lesson_n5:w511,半,はん,半（几点半）,"half (e.g., にじはん | half-past two)"
lesson_n5:w512,晩,ばん,晚上,evening
lesson_n5:w513,---,パン,面包,bread
lesson_n5:w514,---,ハンカチ,handkerchief，手帕,handkerchief
lesson_n5:w515,番号,ばんごう,号码,"number, series of digits"
lesson_n5:w516,晩御飯,ばんごはん,晚饭,"dinner, evening meal"
lesson_n5:w517,半分,はんぶん,一半,half
lesson_n5:w518,東,ひがし,东，东边,east
lesson_n5:w519,引く,ひく,拉，减,"to pull, to draw; subtract"
lesson_n5:w520,弾く,ひく,弹（琴）,to play (a string instrument or piano)
lesson_n5:w521,低い,ひくい,低，矮,"short, low"
lesson_n5:w522,飛行機,ひこうき,飞机,airplane
lesson_n5:w523,左,ひだり,左，左边,left hand side
lesson_n5:w524,人,ひと,人,"man, person"
lesson_n5:w525,一つ,ひとつ,一个，一岁,one thing
lesson_n5:w526,一月,ひとつき,一个月,one month
lesson_n5:w527,一人,ひとり,一个人,one person
lesson_n5:w528,暇,ひま,空闲，工夫,"free time, leisure"
lesson_n5:w529,百,ひゃく,百,hundred
lesson_n5:w530,病院,びょういん,医院,hospital
lesson_n5:w531,病気,びょうき,病，生病,illness; sickness
lesson_n5:w532,平仮名,ひらがな,平假名,hiragana
lesson_n5:w533,昼,ひる,白天，中午,"noon, daytime"
lesson_n5:w534,昼御飯,ひるごはん,午饭,"lunch, midday meal"
lesson_n5:w535,広い,ひろい,宽敞，宽广,spacious; wide; broad
lesson_n5:w536,---,フィルム,film，胶卷,film (roll of)
lesson_n5:w537,封筒,ふうとう,信封,envelope
lesson_n5:w538,---,プール,pool，游泳池,swimming pool
lesson_n5:w539,---,フォーク,fork，叉子,fork
lesson_n5:w540,吹く,ふく,吹（风）,"to blow (wind, etc.)"
lesson_n5:w541,服,ふく,衣服,clothes
lesson_n5:w542,二つ,ふたつ,两个，两岁,two things
lesson_n5:w543,豚肉,ぶたにく,猪肉,pork
lesson_n5:w544,二人,ふたり,两个人,two people
lesson_n5:w545,二日,ふつか,两天，二号,two days; second day of the month
lesson_n5:w546,太い,ふとい,粗，胖,"fat, thick"
lesson_n5:w547,冬,ふゆ,冬天,winter
lesson_n5:w548,降る,ふる,下（雨、雪）,"to precipitate, to fall (e.g., rain, snow, etc.)"
lesson_n5:w549,古い,ふるい,旧，古老（指物品）,"old (in reference to objects, not people), aged, ancient"
lesson_n5:w550,文章,ぶんしょう,文章，句子,"sentence, text"
lesson_n5:w551,---,ページ,page，页,a page
lesson_n5:w552,下手,へた,不擅长，拙劣,"unskillful, poor"
lesson_n5:w553,---,ベッド,bed，床,bed
lesson_n5:w554,---,ペット,pet，宠物,pet
lesson_n5:w555,部屋,へや,房间,a room
lesson_n5:w556,辺,へん,一带，附近,"area, vicinity"
lesson_n5:w557,---,ペン,pen，钢笔,pen
lesson_n5:w558,便利,べんり,方便,"convenient, handy"
lesson_n5:w559,帽子,ぼうし,帽子,hat; cap
lesson_n5:w560,---,ボールペン,ballpoint pen，圆珠笔,ball-point pen
lesson_n5:w561,外,ほか,其他，另外,"other, the rest"
lesson_n5:w562,---,ポケット,pocket，口袋,pocket
lesson_n5:w563,欲しい,ほしい,想要,"to want, in need of"
lesson_n5:w564,---,ポスト,post，邮筒，信箱,"mailbox; post, position"
lesson_n5:w565,細い,ほそい,细，纤细,"thin, slender, fine"
lesson_n5:w566,---,ボタン,button，纽扣,button
lesson_n5:w567,---,ホテル,hotel，旅馆，酒店,hotel
lesson_n5:w568,本,ほん,书,book
lesson_n5:w569,本棚,ほんだな,书架,bookshelf
lesson_n5:w570,本当,ほんとう,真的，真,"real, true"
lesson_n5:w571,毎朝,まいあさ,每天早上,every morning
lesson_n5:w572,毎月,まいげつ,每月,"every month, monthly"
lesson_n5:w573,毎週,まいしゅう,每周,every week
lesson_n5:w574,毎日,まいにち,每天,every day
lesson_n5:w575,毎年,まいねん,每年,"every year, yearly, annually"
lesson_n5:w576,毎晩,まいばん,每天晚上,every night
lesson_n5:w577,前,まえ,前面，之前,"before, in front"
lesson_n5:w578,曲る,まがる,拐弯，弯曲,"to turn, to bend"
lesson_n5:w579,---,まずい,难吃，味道差,"terrible (in reference to food), unappetizing, unpleasant (taste)"
lesson_n5:w580,---,また,又，再,and; furthermore
lesson_n5:w581,---,まだ,还，尚未,"yet, still, besides"
lesson_n5:w582,町,まち,城镇，街,town; city
lesson_n5:w583,待つ,まつ,等，等待,to wait
lesson_n5:w584,---,まっすぐ,一直，笔直,"straight (ahead), direct"
lesson_n5:w585,---,マッチ,match，火柴,match
lesson_n5:w586,窓,まど,窗户,window
lesson_n5:w587,丸い,まるい,圆，圆形,"round, circular"
lesson_n5:w588,万,まん,万,ten thousand
lesson_n5:w589,万年筆,まんねんひつ,钢笔,fountain pen
lesson_n5:w590,磨く,みがく,刷（牙），擦,to brush (teeth); to polish
lesson_n5:w591,右,みぎ,右，右边,right hand side
lesson_n5:w592,短い,みじかい,短,short (length)
lesson_n5:w593,水,みず,水,water
lesson_n5:w594,店,みせ,店，商店,"store, shop"
lesson_n5:w595,見せる,みせる,给…看，展示,"to show, to display"
lesson_n5:w596,道,みち,道路，路,"road, street; way, directions"
lesson_n5:w597,三日,みっか,三天，三号,"three days, third day of the month"
lesson_n5:w598,三つ,みっつ,三个，三岁,three things
lesson_n5:w599,緑,みどり,绿色,green
lesson_n5:w600,皆さん,みなさん,大家,"all of you, everyone"
lesson_n5:w601,南,みなみ,南，南边,South
lesson_n5:w602,耳,みみ,耳朵,ear
lesson_n5:w603,見る,みる,看,"to see, to look"
lesson_n5:w604,---,みんな,大家，全部,"all, everyone, everybody"
lesson_n5:w605,六日,むいか,六天，六号,six days; sixth day of month
lesson_n5:w606,向こう,むこう,对面，那边,"beyond, over there"
lesson_n5:w607,難しい,むずかしい,难,difficult
lesson_n5:w608,六つ,むっつ,六个，六岁,six things
lesson_n5:w609,村,むら,村子,village
lesson_n5:w610,目,め,眼睛,eye(s)
lesson_n5:w611,---,メートル,meter，米（长度单位）,meter
lesson_n5:w612,眼鏡,めがね,眼镜,eye glasses
lesson_n5:w613,---,もう,已经；再,already; again; more
lesson_n5:w614,木曜日,もくようび,星期四,Thursday
lesson_n5:w615,---,もしもし,喂（打电话）,Hello? (used on the phone)
lesson_n5:w616,持つ,もつ,拿，持有,"to hold, to carry; to possess"
lesson_n5:w617,---,もっと,更，更加,more
lesson_n5:w618,物,もの,东西，物品,thing (concrete object)
lesson_n5:w619,門,もん,门，大门,gate
lesson_n5:w620,問題,もんだい,问题,a problem
lesson_n5:w621,八百屋,やおや,蔬菜店,greengrocer
lesson_n5:w622,野菜,やさい,蔬菜,vegetable
lesson_n5:w623,易しい,やさしい,容易，简单,"easy, plain, simple"
lesson_n5:w624,安い,やすい,便宜,inexpensive; cheap (things)
lesson_n5:w625,休み,やすみ,休息，假日,holiday; day off; absence
lesson_n5:w626,休む,やすむ,休息，请假,"to rest, to have a break, to get time off"
lesson_n5:w627,八つ,やっつ,八个，八岁,eight things
lesson_n5:w628,山,やま,山,mountain
lesson_n5:w629,---,やる,做；给（动植物、晚辈）,"to do; to give (to pets, parents, siblings, etc.)"
lesson_n5:w630,夕方,ゆうがた,傍晚,"late afternoon (typically just before dinner time), evening"
lesson_n5:w631,夕飯,ゆうはん,晚饭,"dinner, supper, evening meal"
lesson_n5:w632,郵便局,ゆうびんきょく,邮局,post office
lesson_n5:w633,昨夜,ゆうべ,昨晚,last night
lesson_n5:w634,有名,ゆうめい,有名,famous
lesson_n5:w635,雪,ゆき,雪,snow
lesson_n5:w636,---,ゆっくりと,慢慢，从容,"slowly, at ease"
lesson_n5:w637,八日,ようか,八天，八号,eight days; eighth day of the month
lesson_n5:w638,洋服,ようふく,西服，西装,Western-style clothes
lesson_n5:w639,---,よく,经常；很好地,"frequently, often (much); well, skillfully"
lesson_n5:w640,横,よこ,旁边，横向,beside; side; width
lesson_n5:w641,四日,よっか,四天，四号,four days; fourth day of the month
lesson_n5:w642,四つ,よっつ,四个，四岁,four things
lesson_n5:w643,呼ぶ,よぶ,叫，招呼，邀请,to call (one's name); to invite
lesson_n5:w644,読む,よむ,读,to read
lesson_n5:w645,夜,よる,晚上，夜里,"evening, night"
lesson_n5:w646,弱い,よわい,弱,weak
lesson_n5:w647,来月,らいげつ,下个月,next month
lesson_n5:w648,来週,らいしゅう,下周,next week
lesson_n5:w649,来年,らいねん,明年,next year
lesson_n5:w650,---,ラジオ,radio，收音机,radio
lesson_n5:w651,---,ラジオカセ,radio cassette，收录机,radio cassette player
lesson_n5:w652,---,りっぱ,出色，气派,"splendid, fine"
lesson_n5:w653,留学生,りゅうがくせい,留学生,international student
lesson_n5:w654,両親,りょうしん,父母，双亲,"parents (lit., both parents)"
lesson_n5:w655,料理,りょうり,菜，烹饪,cooking; cuisine
lesson_n5:w656,旅行,りょこう,旅行,"travel, trip"
lesson_n5:w657,零,れい,零,"zero, nought"
lesson_n5:w658,冷蔵庫,れいぞうこ,冰箱,refrigerator
lesson_n5:w659,---,レコード,record，唱片,record
lesson_n5:w660,---,レストラン,restaurant，西餐馆，餐厅,restaurant
lesson_n5:w661,廊下,ろうか,走廊,corridor
lesson_n5:w662,六,ろく,六,six
lesson_n5:w663,---,ワイシャツ,white shirt，衬衫,"shirt (lit: white shirt), business shirt"
lesson_n5:w664,若い,わかい,年轻,young
lesson_n5:w665,分かる,わかる,明白，懂,to understand
lesson_n5:w666,忘れる,わすれる,忘，忘记,to forget
lesson_n5:w667,私,わたし,我,"I, myself"
lesson_n5:w668,私,わたくし,我（正式说法）,"I (formal), myself, private affairs"
lesson_n5:w669,渡す,わたす,交给（他动词）,to hand (something) over (v.t.); to get across
lesson_n5:w670,渡る,わたる,过（马路、桥）,"to cross over, to go across"
lesson_n5:w671,悪い,わるい,坏，不好,"bad, sinful; inferior"
